Date,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,Referee
15/01/2025,Blackburn,Portsmouth,3,0,H,F Hallam
14/01/2025,Cardiff,Watford,1,1,D,O Langford
14/01/2025,Plymouth,Oxford,1,1,D,S Allison
6/01/2025,QPR,Luton,2,1,H,A Davies
5/01/2025,Sunderland,Portsmouth,1,0,H,T Bramall
4/01/2025,Blackburn,Burnley,0,1,A,A Kitchen
4/01/2025,Stoke,Plymouth,0,0,D,D Whitestone
4/01/2025,Swansea,West Brom,1,1,D,S Allison
4/01/2025,Bristol City,Derby,1,0,H,W Finnie
4/01/2025,Hull,Leeds,3,3,D,A Backhouse
4/01/2025,Middlesbrough,Cardiff,1,1,D,T Nield
4/01/2025,Norwich,Coventry,2,1,H,J Bell
4/01/2025,Preston,Oxford,1,1,D,B Toner
4/01/2025,Sheffield Weds,Millwall,2,2,D,R Jones
4/01/2025,Watford,Sheffield United,1,2,A,D Webb
1/01/2025,Plymouth,Bristol City,2,2,D,T Robinson
1/01/2025,QPR,Watford,3,1,H,S Martin
1/01/2025,Millwall,Oxford,0,1,A,R Ricardo
1/01/2025,Burnley,Stoke,0,0,D,G Ward
1/01/2025,Cardiff,Coventry,1,1,D,G Eltringham
1/01/2025,Leeds,Blackburn,1,1,D,O Langford
1/01/2025,Luton,Norwich,0,1,A,J Gillett
1/01/2025,Portsmouth,Swansea,4,0,H,J Linington
1/01/2025,Sheffield Weds,Derby,4,2,H,L Smith
1/01/2025,West Brom,Preston,3,1,H,R Madley
1/01/2025,Hull,Middlesbrough,0,1,A,L Doughty
1/01/2025,Sunderland,Sheffield United,2,1,H,M Donohue
29/12/2024,Norwich,QPR,1,1,D,S Barrott
29/12/2024,Preston,Sheffield Weds,3,1,H,S Gill
29/12/2024,Sheffield United,West Brom,1,1,D,S Attwell
29/12/2024,Blackburn,Hull,0,1,A,D Whitestone
29/12/2024,Bristol City,Portsmouth,3,0,H,J Busby
29/12/2024,Coventry,Millwall,0,0,D,A Kitchen
29/12/2024,Oxford,Plymouth,2,0,H,D Webb
29/12/2024,Stoke,Sunderland,1,0,H,J Bell
29/12/2024,Swansea,Luton,2,1,H,F Hallam
29/12/2024,Watford,Cardiff,1,2,A,S Allison
29/12/2024,Derby,Leeds,0,1,A,A Davies
29/12/2024,Middlesbrough,Burnley,0,0,D,J Smith
26/12/2024,Blackburn,Sunderland,2,2,D,R Madley
26/12/2024,Bristol City,Luton,1,0,H,P Bankes
26/12/2024,Coventry,Plymouth,4,0,H,A Herczeg
26/12/2024,Middlesbrough,Sheffield Weds,3,3,D,A Backhouse
26/12/2024,Norwich,Millwall,2,1,H,T Nield
26/12/2024,Oxford,Cardiff,3,2,H,G Ward
26/12/2024,Preston,Hull,1,0,H,J Smith
26/12/2024,Sheffield United,Burnley,0,2,A,O Langford
26/12/2024,Swansea,QPR,3,0,H,B Toner
26/12/2024,Watford,Portsmouth,2,1,H,G Eltringham
26/12/2024,Derby,West Brom,2,1,H,J Gillett
26/12/2024,Stoke,Leeds,0,2,A,S Martin
22/12/2024,West Brom,Bristol City,2,0,H,T Kirk
21/12/2024,Hull,Swansea,2,1,H,T Bramall
21/12/2024,Portsmouth,Coventry,4,1,H,D Whitestone
21/12/2024,Sheffield Weds,Stoke,2,0,H,S Allison
21/12/2024,Burnley,Watford,2,1,H,J Linington
21/12/2024,Cardiff,Sheffield United,0,2,A,D Bond
21/12/2024,Leeds,Oxford,4,0,H,J Bell
21/12/2024,Millwall,Blackburn,1,0,H,D Webb
21/12/2024,Plymouth,Middlesbrough,3,3,D,W Finnie
21/12/2024,QPR,Preston,2,1,H,M Donohue
21/12/2024,Sunderland,Norwich,2,1,H,L Doughty
20/12/2024,Luton,Derby,2,1,H,A Kitchen
15/12/2024,Watford,West Brom,2,1,H,G Ward
15/12/2024,Norwich,Burnley,1,2,A,A Madley
14/12/2024,Bristol City,QPR,1,1,D,L Smith
14/12/2024,Coventry,Hull,2,1,H,R Madley
14/12/2024,Preston,Leeds,1,1,D,J Busby
14/12/2024,Blackburn,Luton,2,0,H,M Salisbury
14/12/2024,Middlesbrough,Millwall,1,0,H,G Eltringham
14/12/2024,Oxford,Sheffield Weds,1,3,A,S Martin
14/12/2024,Sheffield United,Plymouth,2,0,H,F Hallam
14/12/2024,Stoke,Cardiff,2,2,D,J Smith
14/12/2024,Swansea,Sunderland,2,3,A,A Davies
13/12/2024,Derby,Portsmouth,4,0,H,O Langford
11/12/2024,Cardiff,Preston,0,2,A,J Linington
11/12/2024,Hull,Watford,1,1,D,L Doughty
11/12/2024,Millwall,Sheffield United,0,1,A,M Donohue
11/12/2024,QPR,Oxford,2,0,H,A Herczeg
11/12/2024,West Brom,Coventry,2,0,H,J Busby
10/12/2024,Burnley,Derby,0,0,D,A Davies
10/12/2024,Luton,Stoke,2,1,H,T Nield
10/12/2024,Plymouth,Swansea,1,2,A,S Martin
10/12/2024,Portsmouth,Norwich,0,0,D,A Kitchen
10/12/2024,Sheffield Weds,Blackburn,0,1,A,J Smith
10/12/2024,Sunderland,Bristol City,1,1,D,D Whitestone
10/12/2024,Leeds,Middlesbrough,3,1,H,B Toner
8/12/2024,West Brom,Sheffield United,2,2,D,D Webb
7/12/2024,Leeds,Derby,2,0,H,M Donohue
7/12/2024,Sheffield Weds,Preston,1,1,D,R Madley
7/12/2024,Sunderland,Stoke,2,1,H,C Pawson
7/12/2024,Hull,Blackburn,0,1,A,T Kirk
7/12/2024,Luton,Swansea,1,1,D,J Bell
7/12/2024,Millwall,Coventry,0,1,A,T Bramall
7/12/2024,Portsmouth,Bristol City,3,0,H,S Gill
7/12/2024,QPR,Norwich,3,0,H,A Backhouse
6/12/2024,Burnley,Middlesbrough,1,1,D,A Kitchen
1/12/2024,Derby,Sheffield Weds,1,2,A,J Busby
30/11/2024,Middlesbrough,Hull,3,1,H,A Martin
30/11/2024,Oxford,Millwall,1,1,D,A Backhouse
30/11/2024,Watford,QPR,0,0,D,A Kitchen
30/11/2024,Blackburn,Leeds,1,0,H,L Smith
30/11/2024,Bristol City,Plymouth,4,0,H,T Robinson
30/11/2024,Coventry,Cardiff,2,2,D,J Bell
30/11/2024,Norwich,Luton,4,2,H,J Smith
30/11/2024,Preston,West Brom,1,1,D,T Bramall
30/11/2024,Stoke,Burnley,0,2,A,O Langford
30/11/2024,Swansea,Portsmouth,2,2,D,W Finnie
29/11/2024,Sheffield United,Sunderland,1,0,H,G Ward
27/11/2024,Cardiff,QPR,0,2,A,S Martin
27/11/2024,Leeds,Luton,3,0,H,S Allison
27/11/2024,Middlesbrough,Blackburn,0,1,A,J Bell
27/11/2024,Derby,Swansea,1,2,A,B Toner
26/11/2024,Burnley,Coventry,2,0,H,A Backhouse
26/11/2024,Hull,Sheffield Weds,0,2,A,O Langford
26/11/2024,Norwich,Plymouth,6,1,H,S Gill
26/11/2024,Sheffield United,Oxford,3,0,H,L Doughty
26/11/2024,Stoke,Preston,0,0,D,M Donohue
26/11/2024,Watford,Bristol City,1,0,H,J Linington
26/11/2024,Sunderland,West Brom,0,0,D,R Madley
24/11/2024,Swansea,Leeds,3,4,A,D Whitestone
23/11/2024,Bristol City,Burnley,0,1,A,R Madley
23/11/2024,Coventry,Sheffield United,2,2,D,D Bond
23/11/2024,Sheffield Weds,Cardiff,1,1,D,A Kitchen
23/11/2024,Luton,Hull,1,0,H,T Bramall
23/11/2024,Millwall,Sunderland,1,1,D,J Busby
23/11/2024,Oxford,Middlesbrough,2,6,A,J Smith
23/11/2024,Preston,Derby,1,1,D,D Webb
23/11/2024,QPR,Stoke,1,1,D,G Ward
23/11/2024,West Brom,Norwich,2,2,D,L Smith
22/11/2024,Plymouth,Watford,2,2,D,A Davies
10/11/2024,Sheffield United,Sheffield Weds,1,0,H,L Smith
10/11/2024,Hull,West Brom,1,2,A,A Kitchen
10/11/2024,Burnley,Swansea,1,0,H,D Webb
9/11/2024,Cardiff,Blackburn,1,3,A,G Ward
9/11/2024,Middlesbrough,Luton,5,1,H,T Harrington
9/11/2024,Stoke,Millwall,1,1,D,J Bell
9/11/2024,Derby,Plymouth,1,1,D,S Hooper
9/11/2024,Leeds,QPR,2,0,H,M Donohue
9/11/2024,Norwich,Bristol City,0,2,A,F Hallam
9/11/2024,Portsmouth,Preston,3,1,H,J Busby
9/11/2024,Sunderland,Coventry,2,2,D,L Doughty
8/11/2024,Watford,Oxford,1,0,H,A Backhouse
7/11/2024,West Brom,Burnley,0,0,D,T Nield
6/11/2024,Blackburn,Stoke,0,2,A,A Davies
6/11/2024,Coventry,Derby,1,2,A,J Linington
6/11/2024,Millwall,Leeds,1,0,H,L Doughty
6/11/2024,Luton,Cardiff,1,0,H,M Donohue
6/11/2024,Preston,Sunderland,0,0,D,L Smith
5/11/2024,Bristol City,Sheffield United,1,2,A,J Busby
5/11/2024,Oxford,Hull,1,0,H,W Finnie
5/11/2024,QPR,Middlesbrough,1,4,A,O Langford
5/11/2024,Sheffield Weds,Norwich,2,0,H,S Martin
5/11/2024,Plymouth,Portsmouth,1,0,H,J Bell
5/11/2024,Swansea,Watford,1,0,H,J Smith
3/11/2024,Millwall,Burnley,1,0,H,G Ward
2/11/2024,Blackburn,Sheffield United,0,2,A,O Langford
2/11/2024,Oxford,Swansea,1,2,A,M Salisbury
2/11/2024,Stoke,Derby,2,1,H,J Smith
2/11/2024,Cardiff,Norwich,2,1,H,L Smith
2/11/2024,Hull,Portsmouth,1,1,D,A Backhouse
2/11/2024,Leeds,Plymouth,3,0,H,D Webb
2/11/2024,Middlesbrough,Coventry,0,3,A,T Bramall
2/11/2024,Preston,Bristol City,1,3,A,G Eltringham
2/11/2024,QPR,Sunderland,0,0,D,B Toner
2/11/2024,Sheffield Weds,Watford,2,6,A,S Allison
1/11/2024,Luton,West Brom,1,1,D,D Whitestone
27/10/2024,Norwich,Middlesbrough,3,3,D,J Bell
26/10/2024,Bristol City,Leeds,0,0,D,J Linington
26/10/2024,Coventry,Luton,3,2,H,R Madley
26/10/2024,Watford,Blackburn,1,0,H,D England
26/10/2024,Burnley,QPR,0,0,D,A Kitchen
26/10/2024,Derby,Hull,1,1,D,T Nield
26/10/2024,Plymouth,Preston,3,3,D,A Davies
26/10/2024,Sheffield United,Stoke,2,0,H,B Toner
26/10/2024,Sunderland,Oxford,2,0,H,O Langford
26/10/2024,Swansea,Millwall,0,1,A,J Busby
26/10/2024,West Brom,Cardiff,0,0,D,J Smith
25/10/2024,Portsmouth,Sheffield Weds,1,2,A,T Robinson
23/10/2024,Blackburn,West Brom,0,0,D,J Busby
23/10/2024,Hull,Burnley,1,1,D,D Whitestone
23/10/2024,Luton,Sunderland,1,2,A,T Nield
23/10/2024,Millwall,Plymouth,1,0,H,S Allison
23/10/2024,Middlesbrough,Sheffield United,1,0,H,A Davies
22/10/2024,Cardiff,Portsmouth,2,0,H,O Langford
22/10/2024,Leeds,Watford,2,1,H,A Backhouse
22/10/2024,Oxford,Derby,1,1,D,G Ward
22/10/2024,Preston,Norwich,2,2,D,W Finnie
22/10/2024,Sheffield Weds,Swansea,0,0,D,M Donohue
22/10/2024,Stoke,Bristol City,2,2,D,D Webb
22/10/2024,QPR,Coventry,1,1,D,J Bell
20/10/2024,Hull,Sunderland,0,1,A,R Madley
19/10/2024,Cardiff,Plymouth,5,0,H,A Kitchen
19/10/2024,Luton,Watford,3,0,H,S Martin
19/10/2024,Oxford,West Brom,1,1,D,L Doughty
19/10/2024,Preston,Coventry,1,0,H,J Smith
19/10/2024,Blackburn,Swansea,1,0,H,D Webb
19/10/2024,Middlesbrough,Bristol City,0,2,A,S Allison
19/10/2024,Millwall,Derby,1,1,D,S Attwell
19/10/2024,QPR,Portsmouth,1,2,A,J Linington
19/10/2024,Sheffield Weds,Burnley,0,2,A,M Salisbury
19/10/2024,Stoke,Norwich,1,1,D,A Backhouse
18/10/2024,Leeds,Sheffield United,2,0,H,L Smith
6/10/2024,Bristol City,Cardiff,1,1,D,R Madley
5/10/2024,Burnley,Preston,0,0,D,G Ward
5/10/2024,Norwich,Hull,4,0,H,T Nield
5/10/2024,Portsmouth,Oxford,1,1,D,L Smith
5/10/2024,Coventry,Sheffield Weds,1,2,A,D Whitestone
5/10/2024,Derby,QPR,2,0,H,D Webb
5/10/2024,Plymouth,Blackburn,2,1,H,J Linington
5/10/2024,Sheffield United,Luton,2,0,H,J Brooks
5/10/2024,Swansea,Stoke,0,0,D,A Davies
5/10/2024,Watford,Middlesbrough,2,1,H,M Donohue
5/10/2024,West Brom,Millwall,0,0,D,W Finnie
4/10/2024,Sunderland,Leeds,2,2,D,T Robinson
2/10/2024,Preston,Watford,3,0,H,A Kitchen
2/10/2024,Sheffield United,Swansea,1,0,H,L Doughty
2/10/2024,Stoke,Portsmouth,6,1,H,T Nield
2/10/2024,Bristol City,Sheffield Weds,0,0,D,A Backhouse
1/10/2024,Burnley,Plymouth,1,0,H,R Madley
1/10/2024,Cardiff,Millwall,1,0,H,G Ward
1/10/2024,Coventry,Blackburn,3,0,H,J Busby
1/10/2024,Luton,Oxford,2,2,D,J Bell
1/10/2024,Norwich,Leeds,1,1,D,S Martin
1/10/2024,QPR,Hull,1,3,A,T Kirk
1/10/2024,Sunderland,Derby,2,0,H,D Whitestone
1/10/2024,West Brom,Middlesbrough,0,1,A,D Webb
29/09/2024,Swansea,Bristol City,1,1,D,A Kitchen
28/09/2024,Blackburn,QPR,2,0,H,C Pawson
28/09/2024,Derby,Norwich,2,3,A,O Langford
28/09/2024,Sheffield Weds,West Brom,3,2,H,B Toner
28/09/2024,Hull,Cardiff,4,1,H,L Doughty
28/09/2024,Leeds,Coventry,3,0,H,G Ward
28/09/2024,Middlesbrough,Stoke,2,0,H,S Martin
28/09/2024,Millwall,Preston,3,1,H,D Bond
28/09/2024,Oxford,Burnley,0,0,D,J Linington
28/09/2024,Portsmouth,Sheffield United,0,0,D,M Donohue
28/09/2024,Watford,Sunderland,2,1,H,A Davies
27/09/2024,Plymouth,Luton,3,1,H,J Busby
22/09/2024,Preston,Blackburn,0,0,D,M Donohue
21/09/2024,Norwich,Watford,4,1,H,A Backhouse
21/09/2024,QPR,Millwall,1,1,D,J Busby
21/09/2024,Sunderland,Middlesbrough,1,0,H,S Hooper
21/09/2024,Bristol City,Oxford,2,1,H,W Finnie
21/09/2024,Burnley,Portsmouth,2,1,H,D Webb
21/09/2024,Cardiff,Leeds,0,2,A,J Smith
21/09/2024,Coventry,Swansea,1,2,A,J Linington
21/09/2024,Luton,Sheffield Weds,2,1,H,G Ward
21/09/2024,Sheffield United,Derby,1,0,H,A Madley
21/09/2024,West Brom,Plymouth,1,0,H,A Kitchen
20/09/2024,Stoke,Hull,1,3,A,B Toner
15/09/2024,Portsmouth,West Brom,0,3,A,L Doughty
14/09/2024,Leeds,Burnley,0,1,A,J Bell
14/09/2024,Millwall,Luton,0,1,A,J Smith
14/09/2024,Oxford,Stoke,1,0,H,D Whitestone
14/09/2024,Blackburn,Bristol City,3,0,H,S Martin
14/09/2024,Derby,Cardiff,1,0,H,M Donohue
14/09/2024,Middlesbrough,Preston,1,1,D,T Nield
14/09/2024,Plymouth,Sunderland,3,2,H,J Brooks
14/09/2024,Sheffield Weds,QPR,1,1,D,O Langford
14/09/2024,Swansea,Norwich,1,0,H,J Busby
14/09/2024,Watford,Coventry,1,1,D,R Madley
13/09/2024,Hull,Sheffield United,0,2,A,P Bankes
1/09/2024,Sheffield United,Watford,1,0,H,A Kitchen
31/08/2024,Burnley,Blackburn,1,1,D,T Harrington
31/08/2024,Cardiff,Middlesbrough,0,2,A,D Webb
31/08/2024,Coventry,Norwich,0,1,A,A Davies
31/08/2024,Derby,Bristol City,3,0,H,T Nield
31/08/2024,Leeds,Hull,2,0,H,G Ward
31/08/2024,Millwall,Sheffield Weds,3,0,H,L Doughty
31/08/2024,Oxford,Preston,3,1,H,K Stroud
31/08/2024,Plymouth,Stoke,0,1,A,O Langford
31/08/2024,Portsmouth,Sunderland,1,3,A,S Allison
31/08/2024,West Brom,Swansea,1,0,H,A Backhouse
30/08/2024,Luton,QPR,1,2,A,R Madley
25/08/2024,Swansea,Cardiff,1,1,D,O Langford
24/08/2024,Bristol City,Coventry,1,1,D,A Kitchen
24/08/2024,Hull,Millwall,0,0,D,D Webb
24/08/2024,QPR,Plymouth,1,1,D,G Ward
24/08/2024,Blackburn,Oxford,2,1,H,L Smith
24/08/2024,Middlesbrough,Portsmouth,2,2,D,M Donohue
24/08/2024,Norwich,Sheffield United,1,1,D,J Smith
24/08/2024,Preston,Luton,1,0,H,D Whitestone
24/08/2024,Stoke,West Brom,1,2,A,J Bell
24/08/2024,Sunderland,Burnley,1,0,H,S Martin
24/08/2024,Watford,Derby,2,1,H,G Eltringham
23/08/2024,Sheffield Weds,Leeds,0,2,A,S Hooper
18/08/2024,Sunderland,Sheffield Weds,4,0,H,D Whitestone
17/08/2024,Derby,Middlesbrough,1,0,H,R Madley
17/08/2024,Portsmouth,Luton,0,0,D,J Busby
17/08/2024,West Brom,Leeds,0,0,D,S Allison
17/08/2024,Bristol City,Millwall,4,3,H,S Gill
17/08/2024,Burnley,Cardiff,5,0,H,M Salisbury
17/08/2024,Norwich,Blackburn,2,2,D,J Bell
17/08/2024,Plymouth,Hull,1,1,D,L Doughty
17/08/2024,Sheffield United,QPR,2,2,D,A Backhouse
17/08/2024,Swansea,Preston,3,0,H,S Martin
17/08/2024,Watford,Stoke,3,0,H,T Nield
16/08/2024,Coventry,Oxford,3,2,H,D Coote
12/08/2024,Luton,Burnley,1,4,A,M Donohue
11/08/2024,Sheffield Weds,Plymouth,4,0,H,L Smith
10/08/2024,Cardiff,Sunderland,0,2,A,A Davies
10/08/2024,Hull,Bristol City,1,1,D,K Stroud
10/08/2024,Leeds,Portsmouth,3,3,D,O Langford
10/08/2024,Middlesbrough,Swansea,1,0,H,S Allison
10/08/2024,Millwall,Watford,2,3,A,J Busby
10/08/2024,Oxford,Norwich,2,0,H,A Kitchen
10/08/2024,QPR,West Brom,1,3,A,D Webb
10/08/2024,Stoke,Coventry,1,0,H,G Ward
9/08/2024,Blackburn,Derby,4,2,H,J Smith
9/08/2024,Preston,Sheffield United,0,2,A,R Madley
4/05/2024,Birmingham,Norwich,1,0,H,O Langford
4/05/2024,Coventry,QPR,1,2,A,J Smith
4/05/2024,Ipswich,Huddersfield,2,0,H,S Hooper
4/05/2024,Leeds,Southampton,1,2,A,M Donohue
4/05/2024,Leicester,Blackburn,0,2,A,A Kitchen
4/05/2024,Middlesbrough,Watford,3,1,H,K Stroud
4/05/2024,Plymouth,Hull,1,0,H,D Bond
4/05/2024,Rotherham,Cardiff,5,2,H,A Davies
4/05/2024,Stoke,Bristol City,4,0,H,S Barrott
4/05/2024,Sunderland,Sheffield Weds,0,2,A,G Ward
4/05/2024,Swansea,Millwall,0,1,A,G Eltringham
4/05/2024,West Brom,Preston,3,0,H,S Martin
30/04/2024,Coventry,Ipswich,1,2,A,J Bell
29/04/2024,Preston,Leicester,0,3,A,S Allison
27/04/2024,Blackburn,Coventry,0,0,D,A Backhouse
27/04/2024,Bristol City,Rotherham,2,0,H,C Breakspear
27/04/2024,Cardiff,Middlesbrough,1,4,A,J Simpson
27/04/2024,Huddersfield,Birmingham,1,1,D,M Donohue
27/04/2024,Millwall,Plymouth,1,0,H,A Davies
27/04/2024,Norwich,Swansea,2,2,D,J Linington
27/04/2024,Sheffield Weds,West Brom,3,0,H,G Scott
27/04/2024,Southampton,Stoke,0,1,A,D Webb
27/04/2024,Watford,Sunderland,1,0,H,O Langford
27/04/2024,Hull,Ipswich,3,3,D,A Kitchen
26/04/2024,QPR,Leeds,4,0,H,D Bond
24/04/2024,Coventry,Hull,2,3,A,L Doughty
23/04/2024,Leicester,Southampton,5,0,H,R Madley
22/04/2024,Middlesbrough,Leeds,3,4,A,T Harrington
21/04/2024,Blackburn,Sheffield Weds,1,3,A,J Pawson
20/04/2024,Leicester,West Brom,2,1,H,T Bramall
20/04/2024,Cardiff,Southampton,2,1,H,O Langford
20/04/2024,Huddersfield,Swansea,0,4,A,J Busby
20/04/2024,Norwich,Bristol City,1,1,D,S Barrott
20/04/2024,Rotherham,Birmingham,0,0,D,K Stroud
20/04/2024,Stoke,Plymouth,3,0,H,R Madley
20/04/2024,Sunderland,Millwall,0,1,A,A Backhouse
20/04/2024,Watford,Hull,0,0,D,B Toner
20/04/2024,QPR,Preston,1,0,H,G Ward
16/04/2024,Southampton,Preston,3,0,H,S Barrott
13/04/2024,Leeds,Blackburn,0,1,A,J Bell
13/04/2024,Birmingham,Coventry,3,0,H,T Bramall
13/04/2024,Bristol City,Huddersfield,1,1,D,R Welch
13/04/2024,Hull,QPR,3,0,H,T Nield
13/04/2024,Ipswich,Middlesbrough,1,1,D,S Allison
13/04/2024,Millwall,Cardiff,3,1,H,W Finnie
13/04/2024,Preston,Norwich,0,1,A,A Kitchen
13/04/2024,Sheffield Weds,Stoke,1,1,D,S Martin
13/04/2024,Southampton,Watford,3,2,H,J Smith
13/04/2024,Swansea,Rotherham,1,0,H,L Doughty
13/04/2024,West Brom,Sunderland,0,1,A,M Donohue
12/04/2024,Plymouth,Leicester,1,0,H,R Jones
10/04/2024,Birmingham,Cardiff,0,1,A,S Allison
10/04/2024,Bristol City,Blackburn,5,0,H,R Madley
10/04/2024,Hull,Middlesbrough,2,2,D,G Ward
10/04/2024,Ipswich,Watford,0,0,D,S Barrott
10/04/2024,Swansea,Stoke,3,0,H,K Stroud
10/04/2024,West Brom,Rotherham,2,0,H,G Eltringham
9/04/2024,Millwall,Leicester,1,0,H,S Gill
9/04/2024,Plymouth,QPR,1,1,D,J Simpson
9/04/2024,Preston,Huddersfield,4,1,H,L Smith
9/04/2024,Sheffield Weds,Norwich,2,2,D,C Kavanagh
9/04/2024,Southampton,Coventry,2,1,H,L Linington
9/04/2024,Leeds,Sunderland,0,0,D,T Robinson
6/04/2024,Norwich,Ipswich,1,0,H,M Donohue
6/04/2024,Blackburn,Southampton,0,0,D,C Pawson
6/04/2024,Cardiff,Hull,1,3,A,J Busby
6/04/2024,Coventry,Leeds,2,1,H,T Nield
6/04/2024,Huddersfield,Millwall,1,0,H,J Linington
6/04/2024,Leicester,Birmingham,2,1,H,D Webb
6/04/2024,Middlesbrough,Swansea,2,0,H,R Welch
6/04/2024,QPR,Sheffield Weds,0,2,A,G Scott
6/04/2024,Stoke,West Brom,2,2,D,A Kitchen
6/04/2024,Sunderland,Bristol City,0,0,D,L Doughty
6/04/2024,Watford,Preston,0,0,D,J Bell
5/04/2024,Rotherham,Plymouth,0,1,A,O Langford
1/04/2024,Leicester,Norwich,3,1,H,D Bond
1/04/2024,Birmingham,Preston,1,0,H,O Langford
1/04/2024,Coventry,Cardiff,1,2,A,L Doughty
1/04/2024,Middlesbrough,Sheffield Weds,2,0,H,M Donohue
1/04/2024,Plymouth,Bristol City,0,1,A,K Stroud
1/04/2024,Rotherham,Millwall,2,1,H,A Chilowicz
1/04/2024,Stoke,Huddersfield,1,1,D,R Welch
1/04/2024,Sunderland,Blackburn,1,5,A,J Busby
1/04/2024,Swansea,QPR,0,1,A,S Allison
1/04/2024,West Brom,Watford,2,2,D,G Ward
1/04/2024,Ipswich,Southampton,3,2,H,M Salisbury
1/04/2024,Leeds,Hull,3,1,H,J Smith
29/03/2024,Bristol City,Leicester,1,0,H,A Kitchen
29/03/2024,Millwall,West Brom,1,1,D,J Bell
29/03/2024,Cardiff,Sunderland,0,2,A,J Simpson
29/03/2024,Huddersfield,Coventry,1,3,A,A Herczeg
29/03/2024,Hull,Stoke,0,2,A,G Scott
29/03/2024,Norwich,Plymouth,2,1,H,J Linington
29/03/2024,Preston,Rotherham,3,0,H,S Martin
29/03/2024,QPR,Birmingham,2,1,H,J Smith
29/03/2024,Sheffield Weds,Swansea,1,1,D,G Eltringham
29/03/2024,Southampton,Middlesbrough,1,1,D,M Donohue
29/03/2024,Blackburn,Ipswich,0,1,A,S Attwell
29/03/2024,Watford,Leeds,2,2,D,D Webb
17/03/2024,Leeds,Millwall,2,0,H,S Martin
16/03/2024,Swansea,Cardiff,2,0,H,D Webb
16/03/2024,Birmingham,Watford,0,1,A,M Donohue
16/03/2024,Ipswich,Sheffield Weds,6,0,H,L Doughty
16/03/2024,Middlesbrough,Blackburn,0,0,D,K Stroud
16/03/2024,Plymouth,Preston,0,1,A,J Busby
16/03/2024,Rotherham,Huddersfield,0,0,D,J Smith
16/03/2024,Stoke,Norwich,0,3,A,G Ward
16/03/2024,Sunderland,QPR,0,0,D,O Langford
16/03/2024,West Brom,Bristol City,2,0,H,T Nield
12/03/2024,Birmingham,Middlesbrough,0,1,A,A Davies
10/03/2024,Huddersfield,West Brom,1,4,A,D Webb
10/03/2024,Bristol City,Swansea,1,0,H,M Donohue
9/03/2024,Cardiff,Ipswich,2,1,H,O Langford
9/03/2024,Blackburn,Plymouth,1,1,D,A Kitchen
9/03/2024,Hull,Leicester,2,2,D,S Barrott
9/03/2024,Millwall,Birmingham,1,0,H,D Bond
9/03/2024,Norwich,Rotherham,5,0,H,C Breakspear
9/03/2024,Preston,Stoke,1,2,A,J Smith
9/03/2024,QPR,Middlesbrough,0,2,A,L Doughty
9/03/2024,Southampton,Sunderland,4,2,H,S Attwell
9/03/2024,Watford,Coventry,1,2,A,R Madley
8/03/2024,Sheffield Weds,Leeds,0,2,A,S Allison
6/03/2024,Cardiff,Huddersfield,1,0,H,M Donohue
6/03/2024,Middlesbrough,Norwich,3,1,H,R Madley
6/03/2024,Watford,Swansea,1,1,D,T Nield
6/03/2024,QPR,West Brom,2,2,D,G Eltringham
5/03/2024,Blackburn,Millwall,1,1,D,J Simpson
5/03/2024,Coventry,Rotherham,5,0,H,J Busby
5/03/2024,Hull,Birmingham,1,1,D,K Stroud
5/03/2024,Leeds,Stoke,1,0,H,O Langford
5/03/2024,Sheffield Weds,Plymouth,1,0,H,S Martin
5/03/2024,Sunderland,Leicester,0,1,A,S Gill
5/03/2024,Ipswich,Bristol City,3,2,H,D Webb
2/03/2024,Bristol City,Cardiff,0,1,A,S Allison
2/03/2024,Huddersfield,Leeds,1,1,D,A Kitchen
2/03/2024,Birmingham,Southampton,3,4,A,J Bell
2/03/2024,Leicester,QPR,1,2,A,A Davies
2/03/2024,Millwall,Watford,1,0,H,G Ward
2/03/2024,Norwich,Sunderland,1,0,H,T Kirk
2/03/2024,Plymouth,Ipswich,0,2,A,J Smith
2/03/2024,Preston,Hull,0,0,D,T Bramall
2/03/2024,Rotherham,Sheffield Weds,0,1,A,D Webb
2/03/2024,Stoke,Middlesbrough,2,0,H,J Busby
2/03/2024,Swansea,Blackburn,2,1,H,R Welch
1/03/2024,West Brom,Coventry,2,1,H,L Smith
24/02/2024,Hull,West Brom,1,1,D,S Martin
24/02/2024,Blackburn,Norwich,1,1,D,O Langford
24/02/2024,Cardiff,Stoke,2,1,H,A Backhouse
24/02/2024,Ipswich,Birmingham,3,1,H,G Ward
24/02/2024,Middlesbrough,Plymouth,0,2,A,S Gill
24/02/2024,QPR,Rotherham,2,1,H,M Donohue
24/02/2024,Sheffield Weds,Bristol City,2,1,H,T Kirk
24/02/2024,Southampton,Millwall,1,2,A,T Bramall
24/02/2024,Sunderland,Swansea,1,2,A,K Stroud
24/02/2024,Watford,Huddersfield,1,2,A,B Toner
23/02/2024,Coventry,Preston,0,3,A,A Davies
23/02/2024,Leeds,Leicester,3,1,H,C Pawson
20/02/2024,Cardiff,Blackburn,0,0,D,L Doughty
20/02/2024,Ipswich,Rotherham,4,3,H,K Stroud
20/02/2024,Plymouth,West Brom,0,3,A,T Nield
20/02/2024,Southampton,Hull,1,2,A,O Langford
17/02/2024,Plymouth,Leeds,0,2,A,M Donohue
